date,name,amount,category,status
6/4/2023,Planet Fitness,1129.41,Fitness & Sports,Posted
9/29/2023,Costco,-1140.95,Shopping,Posted
6/23/2023,Walmart,1862.7,Shopping,Pending
10/15/2023,Airbnb,488.53,Travel,Pending
3/25/2024,IKEA,1924.91,Shopping,Pending
10/13/2023,Office Depot,1487.39,Business Services,Posted
8/6/2024,Car Insurance,1588.5,Insurance & Financial,Pending
2/10/2024,eBay,2106.1,Shopping,Posted
12/29/2023,Hulu,1197.13,Subscriptions,Posted
1/7/2023,Overdraft Fee,1019.37,Banking & Fees,Posted
9/2/2023,Health Insurance,2566.16,Insurance & Financial,Pending
5/12/2023,Overdraft Fee,335.9,Banking & Fees,Posted
2/9/2024,LA Fitness,1047.96,Fitness & Sports,Pending
11/10/2023,McDonald's,1550.43,Food & Drinks,Pending
10/26/2023,Electricity Bill,1808.74,Bills & Utilities,Pending
3/19/2023,Automatic Payment,718.99,Business Services,Pending
2/28/2023,Touchstone Climbing,1579.29,Fitness & Sports,Posted
5/20/2024,Overdraft Fee,2326.32,Banking & Fees,Posted
2/19/2024,Nike Training,1674.89,Fitness & Sports,Posted
8/19/2024,Nike Training,-2480.07,Fitness & Sports,Posted
4/29/2024,Rent Payment,480.73,Bills & Utilities,Pending
8/7/2024,Expedia,2547.88,Travel,Pending
4/16/2023,Staples,2026.36,Business Services,Pending
7/14/2023,Best Buy,454.71,Shopping,Pending
2/9/2023,Electricity Bill,1802.65,Bills & Utilities,Posted
1/9/2024,PG&E,100.6,Bills & Utilities,Posted
1/19/2024,eBay,1007.93,Shopping,Pending
2/4/2024,Wire Transfer,2539.17,Banking & Fees,Posted
6/1/2024,Home Depot,1892.75,Bills & Utilities,Pending
9/3/2023,Overdraft Fee,633.57,Banking & Fees,Pending
5/12/2023,Staples,1164.02,Business Services,Pending
7/12/2024,Uber,2090.77,Travel,Pending
5/14/2023,CREDIT CARD PAYMENT,2115.44,Banking & Fees,Pending
7/28/2023,Bank Fee,2174.41,Banking & Fees,Pending
1/21/2024,Burger King,1586.42,Food & Drinks,Posted
3/20/2023,Apple Music,1588.49,Subscriptions,Posted
1/12/2023,Automatic Payment,-2069.92,Business Services,Posted
6/18/2023,Gift Card,2839,Others,Posted
5/31/2023,Walmart,2649.01,Shopping,Posted
5/4/2024,Mortgage Payment,2706.59,Insurance & Financial,Pending
3/22/2024,Health Insurance,-2325.69,Insurance & Financial,Posted
12/7/2023,Donation,2113.31,Others,Posted
12/1/2023,Domino's Pizza,2954.43,Food & Drinks,Pending
9/30/2023,Disney+,1850.5,Subscriptions,Pending
10/7/2023,PG&E,1342.41,Bills & Utilities,Posted
3/1/2024,Costco,162.53,Shopping,Pending
6/20/2023,Car Insurance,724.44,Insurance & Financial,Pending
3/18/2023,Office Depot,1180.1,Business Services,Pending
3/19/2024,Touchstone Climbing,645.78,Fitness & Sports,Posted
3/26/2023,Tectra Inc,1751.1,Business Services,Pending
7/23/2023,Bank Fee,-1766.59,Banking & Fees,Pending
8/20/2023,Chipotle,2062.65,Food & Drinks,Pending
4/14/2023,Electricity Bill,1015.51,Bills & Utilities,Posted
2/2/2023,Touchstone Climbing,2325.25,Fitness & Sports,Pending
2/8/2023,Water Bill,2116.65,Bills & Utilities,Posted
3/31/2024,Automatic Payment,233.04,Business Services,Pending
7/25/2023,Office Depot,2519.49,Business Services,Pending
11/19/2023,Car Insurance,-2612.56,Insurance & Financial,Posted
6/15/2023,Expedia,1085.09,Travel,Pending
7/9/2024,IKEA,2721.89,Shopping,Pending
2/28/2024,CREDIT CARD PAYMENT,2406.64,Banking & Fees,Posted
7/31/2023,Walmart,-339.2,Shopping,Pending
6/7/2023,Burger King,1841.82,Food & Drinks,Pending
5/6/2023,Delta Airlines,1814.32,Travel,Pending
7/14/2023,Home Depot,2622.95,Bills & Utilities,Posted
8/18/2023,Health Insurance,134.71,Insurance & Financial,Pending
6/4/2023,Spotify,2348.7,Subscriptions,Pending
11/1/2023,Venmo,992.2,Others,Posted
1/27/2023,IKEA,372.91,Shopping,Pending
6/6/2023,Amazon Prime,2949.75,Subscriptions,Posted
4/11/2023,PayPal,2184.59,Others,Pending
6/9/2023,Spotify,2607.98,Subscriptions,Pending
4/29/2023,Domino's Pizza,40.31,Food & Drinks,Posted
2/13/2024,Burger King,2421.49,Food & Drinks,Posted
2/28/2024,Comcast,1499.46,Bills & Utilities,Posted
2/17/2024,Venmo,1909.89,Others,Posted
3/2/2023,Venmo,-1260.42,Others,Posted
6/11/2023,Bank Fee,2987.48,Banking & Fees,Pending
9/9/2023,Gift Card,517.66,Others,Pending
5/15/2023,Verizon,1456.01,Bills & Utilities,Posted
4/20/2023,Overdraft Fee,727.38,Banking & Fees,Posted
7/15/2023,ATM Withdrawal,753.16,Banking & Fees,Pending
3/27/2023,Subway,1138.57,Food & Drinks,Pending
7/27/2024,Tectra Inc,1897.17,Business Services,Pending
9/6/2023,YouTube Premium,2632.92,Subscriptions,Posted
4/5/2023,Uber,1043,Travel,Pending
3/30/2023,Office Depot,687.98,Business Services,Posted
7/8/2024,Amazon Prime,1222.25,Subscriptions,Pending
10/12/2023,Uber,870.28,Travel,Pending
10/18/2023,Donation,-1378.85,Others,Posted
4/26/2024,Loan Repayment,2876.03,Insurance & Financial,Pending
3/13/2023,Loan Repayment,2893.66,Insurance & Financial,Pending
5/20/2023,Planet Fitness,1734.71,Fitness & Sports,Posted
9/28/2023,McDonald's,446.87,Food & Drinks,Pending
3/1/2023,Airbnb,1621.82,Travel,Posted
4/14/2023,Office Depot,-2613.85,Business Services,Pending
1/27/2024,Comcast,517.17,Bills & Utilities,Pending
4/22/2023,Subway,1496.59,Food & Drinks,Pending
4/14/2024,PG&E,-2090.79,Bills & Utilities,Pending
2/21/2024,CREDIT CARD PAYMENT,1932.55,Banking & Fees,Pending
7/12/2023,Car Insurance,2495.54,Insurance & Financial,Pending
5/13/2023,Target,557.22,Shopping,Pending
1/15/2024,Apple Music,1508.49,Subscriptions,Pending
7/16/2024,PayPal,424.97,Others,Pending
3/11/2024,YouTube Premium,1814.6,Subscriptions,Pending
9/21/2023,Touchstone Climbing,2722.4,Fitness & Sports,Posted
8/25/2023,ATM Withdrawal,316.99,Banking & Fees,Pending
10/20/2023,Miscellaneous Expense,114.81,Others,Posted
2/6/2024,CREDIT CARD PAYMENT,357.51,Banking & Fees,Pending
5/15/2024,Gift Card,804.14,Others,Posted
9/10/2023,Mortgage Payment,-2457.75,Insurance & Financial,Posted
4/6/2023,Marriott Hotels,2368.53,Travel,Posted
4/10/2023,Overdraft Fee,507.18,Banking & Fees,Posted
1/1/2023,Gym Membership,950.81,Fitness & Sports,Pending
4/23/2024,LA Fitness,2594.27,Fitness & Sports,Pending
6/21/2023,Touchstone Climbing,1992,Fitness & Sports,Pending
3/21/2024,ATM Withdrawal,2440.36,Banking & Fees,Pending
8/19/2023,Touchstone Climbing,2492.27,Fitness & Sports,Posted
2/17/2024,Overdraft Fee,1185.45,Banking & Fees,Pending
3/17/2023,YouTube Premium,1409.07,Subscriptions,Posted
7/27/2023,Loan Repayment,50.91,Insurance & Financial,Pending
7/26/2024,Rent Payment,1942.46,Bills & Utilities,Posted
6/28/2023,Mortgage Payment,2491.32,Insurance & Financial,Pending
9/11/2023,Domino's Pizza,1723.35,Food & Drinks,Posted
7/16/2023,Water Bill,276.52,Bills & Utilities,Pending
9/9/2023,Airbnb,773.47,Travel,Pending
12/27/2023,YouTube Premium,56.43,Subscriptions,Pending
3/21/2023,Disney+,12.43,Subscriptions,Posted
10/17/2023,Automatic Payment,2309.13,Business Services,Pending
3/7/2024,ATM Withdrawal,-1148.88,Banking & Fees,Posted
10/28/2023,Wire Transfer,2315.32,Banking & Fees,Posted
8/19/2024,PG&E,2658.95,Bills & Utilities,Pending
5/21/2023,Hulu,1210.18,Subscriptions,Posted
2/14/2023,Comcast,1421.89,Bills & Utilities,Posted
9/18/2023,Lyft,2040.4,Travel,Pending
3/5/2023,Miscellaneous Expense,1646.88,Others,Pending
9/1/2023,YouTube Premium,1960.69,Subscriptions,Posted
2/24/2023,Marriott Hotels,1231.11,Travel,Pending
1/14/2024,Costco,290.49,Shopping,Pending
3/22/2023,Touchstone Climbing,2741.59,Fitness & Sports,Pending
9/29/2023,Wire Transfer,2995.55,Banking & Fees,Pending
8/12/2024,Touchstone Climbing,2107.9,Fitness & Sports,Posted
2/5/2023,Health Insurance,909.27,Insurance & Financial,Posted
10/29/2023,Mortgage Payment,-2110.16,Insurance & Financial,Posted
4/14/2024,Verizon,2532.92,Bills & Utilities,Posted
2/28/2023,Mortgage Payment,178.8,Insurance & Financial,Pending
4/12/2023,Netflix,181.78,Subscriptions,Posted
3/18/2023,Disney+,2399.04,Subscriptions,Pending
4/24/2023,Miscellaneous Expense,347.93,Others,Posted
5/21/2024,Gym Membership,985.89,Fitness & Sports,Pending
12/24/2023,Starbucks,712.22,Food & Drinks,Pending
7/12/2023,YouTube Premium,-603.48,Subscriptions,Posted
8/3/2023,Burger King,2351.72,Food & Drinks,Posted
12/26/2023,Miscellaneous Expense,503.8,Others,Posted
1/29/2024,Rent Payment,2482.12,Bills & Utilities,Posted
2/5/2023,Hulu,1988.95,Subscriptions,Pending
4/25/2024,Rent Payment,467.85,Bills & Utilities,Pending
8/5/2023,Domino's Pizza,2381.91,Food & Drinks,Posted
10/30/2023,Office Depot,2165.78,Business Services,Pending
6/20/2023,Lyft,805.24,Travel,Posted
4/21/2024,Madison Bicycle Shop,2241.05,Business Services,Pending
2/14/2023,Health Insurance,1926.09,Insurance & Financial,Posted
1/30/2024,Car Insurance,145.43,Insurance & Financial,Posted
12/10/2023,Apple Music,109.47,Subscriptions,Pending
5/30/2023,PG&E,2900.71,Bills & Utilities,Pending
11/16/2023,Overdraft Fee,543.18,Banking & Fees,Pending
12/23/2023,Target,2031.97,Shopping,Posted
10/2/2023,Verizon,429.13,Bills & Utilities,Pending
12/17/2023,Staples,396.5,Business Services,Posted
1/7/2023,Tectra Inc,1321.32,Business Services,Posted
3/21/2024,Walmart,1297.04,Shopping,Pending
3/7/2023,Planet Fitness,1369.31,Fitness & Sports,Posted
5/23/2024,Delta Airlines,2086.95,Travel,Posted
3/14/2024,IKEA,2729.42,Shopping,Pending
9/16/2023,Planet Fitness,1578.07,Fitness & Sports,Pending
4/19/2024,Tectra Inc,1068.77,Business Services,Posted
3/28/2024,eBay,2057.79,Shopping,Posted
2/10/2023,Loan Repayment,1485.29,Insurance & Financial,Posted
8/13/2023,United Airlines,385.19,Travel,Pending
5/21/2024,Spotify,2435.06,Subscriptions,Pending
3/19/2024,Health Insurance,1721.38,Insurance & Financial,Posted
6/13/2024,Comcast,-2285.3,Bills & Utilities,Posted
4/22/2024,Costco,670.56,Shopping,Pending
8/26/2023,Nike Training,2742.86,Fitness & Sports,Posted
5/12/2023,McDonald's,707.74,Food & Drinks,Posted
6/27/2023,Amazon,-1631.03,Shopping,Posted
7/12/2024,Spotify,1256.3,Subscriptions,Posted
2/25/2024,Best Buy,745.94,Shopping,Pending
11/18/2023,KFC,1543.6,Food & Drinks,Pending
3/9/2024,Bank Fee,2827.45,Banking & Fees,Posted
9/14/2023,Miscellaneous Expense,2364.21,Others,Pending
2/6/2023,Delta Airlines,1408.38,Travel,Posted
1/2/2024,PG&E,-1798.09,Bills & Utilities,Pending
7/19/2023,Mortgage Payment,2455.37,Insurance & Financial,Pending
12/15/2023,Nike Training,2562.81,Fitness & Sports,Posted
3/12/2023,Marriott Hotels,1504.01,Travel,Posted
1/14/2024,YouTube Premium,2244.38,Subscriptions,Posted
6/24/2023,CREDIT CARD PAYMENT,2430.94,Banking & Fees,Posted
3/6/2023,Amazon Prime,-626.56,Subscriptions,Posted
2/1/2023,Gym Membership,934.78,Fitness & Sports,Posted
1/7/2023,Comcast,2530.31,Bills & Utilities,Pending
1/19/2023,Venmo,523.2,Others,Posted
7/30/2023,Mortgage Payment,1939.91,Insurance & Financial,Pending
1/11/2024,CREDIT CARD PAYMENT,2270.23,Banking & Fees,Pending
2/20/2024,Costco,1217.9,Shopping,Posted
1/3/2023,Wire Transfer,2179.17,Banking & Fees,Pending
4/20/2023,Tectra Inc,2180.25,Business Services,Pending
1/17/2023,Spotify,1223.35,Subscriptions,Posted
2/25/2023,YouTube Premium,916.89,Subscriptions,Posted
8/17/2024,Home Depot,1851.64,Bills & Utilities,Posted
3/19/2023,Uber,1490.34,Travel,Pending
5/3/2023,Car Insurance,284.79,Insurance & Financial,Posted
6/10/2023,YouTube Premium,2902.94,Subscriptions,Posted
6/2/2024,Office Depot,480.01,Business Services,Posted
2/5/2024,Verizon,2466.77,Bills & Utilities,Posted
8/23/2023,Home Depot,663.74,Bills & Utilities,Posted
7/28/2024,Subway,2543.62,Food & Drinks,Posted
7/11/2024,Comcast,1475.03,Bills & Utilities,Posted
4/19/2024,Burger King,717.75,Food & Drinks,Pending
11/27/2023,Marriott Hotels,406.31,Travel,Pending
2/27/2024,CREDIT CARD PAYMENT,-2782.39,Banking & Fees,Posted
2/4/2023,Madison Bicycle Shop,1942.73,Business Services,Posted
2/13/2023,Gym Membership,405.13,Fitness & Sports,Posted
1/19/2023,PayPal,1602.7,Others,Posted
6/25/2024,Mortgage Payment,1450,Insurance & Financial,Posted
7/6/2024,Office Depot,-2556.93,Business Services,Pending
6/12/2024,PG&E,2955.89,Bills & Utilities,Posted
3/17/2023,Planet Fitness,2756.64,Fitness & Sports,Pending
8/19/2023,eBay,170.67,Shopping,Pending
2/14/2023,Electricity Bill,455.19,Bills & Utilities,Pending
2/12/2024,Mortgage Payment,1504.39,Insurance & Financial,Pending
3/20/2023,CREDIT CARD PAYMENT,2884.69,Banking & Fees,Posted
4/6/2023,Donation,1690.05,Others,Posted
12/20/2023,Airbnb,751.58,Travel,Pending
2/16/2024,Gift Card,1096.28,Others,Posted
4/2/2024,Electricity Bill,2809.86,Bills & Utilities,Posted
8/15/2024,PayPal,2222.06,Others,Posted
5/26/2024,Planet Fitness,-1948.86,Fitness & Sports,Pending
3/9/2024,Miscellaneous Expense,1102.71,Others,Posted
8/21/2024,LA Fitness,2708.45,Fitness & Sports,Pending
4/24/2023,Target,-1504.52,Shopping,Posted
2/17/2023,Burger King,920,Food & Drinks,Pending
2/20/2024,Apple Music,2897.86,Subscriptions,Pending
8/9/2024,Costco,1122.14,Shopping,Pending
3/28/2024,Health Insurance,2540.72,Insurance & Financial,Pending
4/23/2023,Best Buy,1316.83,Shopping,Posted
4/14/2023,Amazon Prime,1937.75,Subscriptions,Posted
6/14/2024,Staples,1042.12,Business Services,Pending
11/10/2023,Costco,1864.28,Shopping,Posted
8/15/2023,Hulu,543.41,Subscriptions,Pending
3/17/2024,Walmart,757.19,Shopping,Posted
1/3/2024,Lyft,-2393.21,Travel,Pending
5/30/2023,Airbnb,1451.04,Travel,Pending
6/15/2024,LA Fitness,2402.18,Fitness & Sports,Pending
7/21/2023,Home Depot,505.28,Bills & Utilities,Pending
1/3/2024,Chipotle,1511.77,Food & Drinks,Posted
1/11/2023,Touchstone Climbing,783.29,Fitness & Sports,Posted
7/27/2023,Amazon Prime,17.39,Subscriptions,Pending
1/25/2023,Hulu,1084.19,Subscriptions,Posted
11/17/2023,Marriott Hotels,1220.98,Travel,Pending
3/5/2023,Car Insurance,2499.99,Insurance & Financial,Pending
5/29/2023,Electricity Bill,179.91,Bills & Utilities,Pending
1/30/2024,Lyft,1836.36,Travel,Posted
12/30/2023,Spotify,-1658.98,Subscriptions,Posted
1/6/2023,eBay,585.44,Shopping,Pending
2/19/2024,ATM Withdrawal,112.81,Banking & Fees,Pending
1/31/2023,Venmo,1326.26,Others,Posted
4/1/2023,CREDIT CARD PAYMENT,1711.18,Banking & Fees,Pending
9/6/2023,Amazon,1022.34,Shopping,Posted
7/26/2024,KFC,1282.72,Food & Drinks,Posted
2/25/2024,Rent Payment,747.65,Bills & Utilities,Pending
7/26/2023,Gift Card,1764.02,Others,Posted
7/1/2023,Marriott Hotels,928.52,Travel,Pending
11/17/2023,Touchstone Climbing,921.43,Fitness & Sports,Posted
12/10/2023,eBay,1525.85,Shopping,Posted
8/22/2024,Office Depot,1839.43,Business Services,Posted
7/11/2024,Lyft,2614.19,Travel,Posted
2/7/2023,Best Buy,1154.76,Shopping,Posted
1/28/2024,Loan Repayment,615.51,Insurance & Financial,Posted
10/21/2023,Car Insurance,1132.93,Insurance & Financial,Posted
8/2/2023,Target,2571.77,Shopping,Pending
5/15/2024,Best Buy,793.04,Shopping,Posted
7/17/2024,PayPal,1373.32,Others,Pending
7/17/2023,Airbnb,784.07,Travel,Pending
6/21/2023,Delta Airlines,2767.59,Travel,Posted
5/10/2023,Health Insurance,-1590.3,Insurance & Financial,Pending
2/9/2023,Burger King,2026.45,Food & Drinks,Posted
5/26/2024,Car Insurance,715.49,Insurance & Financial,Posted
3/6/2023,Touchstone Climbing,798.46,Fitness & Sports,Posted
2/24/2023,Health Insurance,1279.32,Insurance & Financial,Pending
12/24/2023,Planet Fitness,2211.2,Fitness & Sports,Posted
4/14/2024,Loan Repayment,26,Insurance & Financial,Pending
12/11/2023,PayPal,-2512.42,Others,Posted
3/13/2023,Domino's Pizza,1306.12,Food & Drinks,Posted
6/17/2024,Delta Airlines,2380.55,Travel,Posted
3/29/2023,Amazon,-2951.73,Shopping,Posted
2/13/2023,Spotify,2695.69,Subscriptions,Pending
8/1/2023,Best Buy,153.38,Shopping,Posted
2/16/2024,Netflix,987.01,Subscriptions,Pending
9/21/2023,Burger King,590.01,Food & Drinks,Pending
3/29/2023,Tectra Inc,378.62,Business Services,Posted
6/5/2023,Office Depot,2514.04,Business Services,Posted
6/6/2024,KFC,570.66,Food & Drinks,Posted
2/28/2024,Best Buy,1481.7,Shopping,Pending
5/17/2024,Mortgage Payment,722.79,Insurance & Financial,Pending
10/28/2023,Hulu,1863.26,Subscriptions,Posted
9/30/2023,McDonald's,1787.07,Food & Drinks,Pending
11/2/2023,Tectra Inc,460.52,Business Services,Posted
8/8/2024,Walmart,-1052.66,Shopping,Pending
1/17/2024,Spotify,1724.42,Subscriptions,Pending
1/19/2023,Comcast,1040.09,Bills & Utilities,Posted
4/2/2023,Costco,2103.53,Shopping,Pending
5/31/2023,IKEA,975.8,Shopping,Posted
4/5/2023,Comcast,-2849.62,Bills & Utilities,Pending
8/26/2023,Uber,333.33,Travel,Posted
1/7/2023,Loan Repayment,1931.36,Insurance & Financial,Pending
4/26/2023,Hulu,91.45,Subscriptions,Pending
6/7/2023,Nike Training,-1928.43,Fitness & Sports,Posted
7/5/2024,PG&E,2645.08,Bills & Utilities,Posted
10/22/2023,Donation,573.21,Others,Pending
5/21/2023,Apple Music,2331.68,Subscriptions,Posted
8/2/2024,Lyft,-962.87,Travel,Posted
3/4/2024,Loan Repayment,494.37,Insurance & Financial,Pending
2/15/2024,Burger King,1420.94,Food & Drinks,Posted
6/7/2023,McDonald's,951.05,Food & Drinks,Pending
11/15/2023,Apple Music,189.39,Subscriptions,Posted
6/14/2023,Airbnb,508.66,Travel,Pending
7/25/2024,KFC,50.72,Food & Drinks,Pending
7/11/2023,LA Fitness,40.64,Fitness & Sports,Pending
12/27/2023,Verizon,2263.74,Bills & Utilities,Pending
4/13/2024,Uber,2724.05,Travel,Pending
7/10/2023,Chipotle,2180.03,Food & Drinks,Posted
3/7/2023,Disney+,2862.64,Subscriptions,Pending
3/10/2024,Venmo,591.45,Others,Posted
6/14/2024,IKEA,731.25,Shopping,Pending
4/3/2024,Donation,2466.07,Others,Pending
1/3/2023,Gift Card,285.23,Others,Posted
3/21/2024,Gift Card,2876,Others,Posted
4/9/2023,Planet Fitness,804.64,Fitness & Sports,Pending
1/29/2024,Wire Transfer,1645.6,Banking & Fees,Posted
3/12/2024,Marriott Hotels,360,Travel,Pending
7/19/2023,Gym Membership,1730.23,Fitness & Sports,Pending
2/7/2024,Rent Payment,1886.42,Bills & Utilities,Posted
5/15/2024,YouTube Premium,67.5,Subscriptions,Pending
9/11/2023,Mortgage Payment,1422.39,Insurance & Financial,Pending
10/18/2023,YouTube Premium,2989.31,Subscriptions,Pending
8/30/2023,Tectra Inc,2223.31,Business Services,Posted
12/29/2023,CREDIT CARD PAYMENT,707.02,Banking & Fees,Pending
4/28/2024,Nike Training,659.15,Fitness & Sports,Pending
9/5/2023,Donation,2656.92,Others,Posted
6/30/2024,Donation,2498.12,Others,Posted
10/16/2023,Office Depot,362.72,Business Services,Posted
2/1/2024,Lyft,-54.27,Travel,Pending
12/3/2023,Miscellaneous Expense,1729.82,Others,Pending
6/20/2024,Miscellaneous Expense,2650.34,Others,Pending
6/20/2024,Electricity Bill,2947.88,Bills & Utilities,Pending
6/14/2024,Venmo,2063.26,Others,Posted
8/22/2024,Wire Transfer,2856.74,Banking & Fees,Pending
11/24/2023,Office Depot,1866.23,Business Services,Posted
1/14/2023,Starbucks,2892.21,Food & Drinks,Posted
5/30/2023,Staples,404.77,Business Services,Pending
9/14/2023,Overdraft Fee,2044.68,Banking & Fees,Posted
1/20/2023,Water Bill,2762.56,Bills & Utilities,Posted
6/5/2023,Amazon,1171.4,Shopping,Pending
9/25/2023,Car Insurance,2380.3,Insurance & Financial,Pending
3/4/2023,Wire Transfer,2528.92,Banking & Fees,Pending
8/24/2023,Planet Fitness,243.95,Fitness & Sports,Pending
5/18/2024,Loan Repayment,-1742.94,Insurance & Financial,Pending
8/24/2023,Amazon Prime,215.28,Subscriptions,Pending
1/24/2023,Office Depot,1906.04,Business Services,Pending
4/9/2023,McDonald's,1178.08,Food & Drinks,Posted
8/10/2023,Overdraft Fee,-1207.29,Banking & Fees,Posted
7/22/2024,Marriott Hotels,1876.61,Travel,Pending
2/10/2023,Wire Transfer,609.43,Banking & Fees,Posted
2/13/2024,Office Depot,2089.62,Business Services,Pending
1/16/2023,Rent Payment,1658.25,Bills & Utilities,Pending
3/23/2023,Tectra Inc,331.76,Business Services,Posted
5/30/2024,Staples,-163.39,Business Services,Pending
6/12/2023,ATM Withdrawal,-2012.68,Banking & Fees,Posted
3/1/2023,United Airlines,2917.29,Travel,Posted
2/18/2024,Gym Membership,2175.6,Fitness & Sports,Pending
6/30/2024,Water Bill,1823.49,Bills & Utilities,Pending
2/5/2024,Verizon,2464.76,Bills & Utilities,Pending
3/7/2024,Mortgage Payment,227.84,Insurance & Financial,Pending
2/26/2023,ATM Withdrawal,841.79,Banking & Fees,Posted
8/7/2023,Target,1088.58,Shopping,Pending
6/8/2023,ATM Withdrawal,2081.87,Banking & Fees,Pending
1/28/2024,Chipotle,1866.38,Food & Drinks,Posted
5/27/2023,Chipotle,2249.38,Food & Drinks,Posted
3/12/2024,Tectra Inc,840.19,Business Services,Posted
6/6/2024,Mortgage Payment,2476.23,Insurance & Financial,Pending
7/18/2023,Gift Card,2489.87,Others,Pending
10/26/2023,CREDIT CARD PAYMENT,550.46,Banking & Fees,Posted
3/19/2023,ATM Withdrawal,2781.55,Banking & Fees,Posted
3/11/2024,Comcast,1524.57,Bills & Utilities,Pending
5/31/2023,Gym Membership,1740.34,Fitness & Sports,Posted
6/16/2024,Miscellaneous Expense,1551.97,Others,Pending
1/27/2024,Mortgage Payment,-2739.94,Insurance & Financial,Posted
8/15/2023,Touchstone Climbing,1595.71,Fitness & Sports,Pending
8/20/2024,LA Fitness,-1612.84,Fitness & Sports,Pending
8/15/2023,Starbucks,375.15,Food & Drinks,Pending
2/21/2024,LA Fitness,619.89,Fitness & Sports,Pending
8/4/2023,Car Insurance,8.73,Insurance & Financial,Posted
9/13/2023,eBay,2040.5,Shopping,Pending
5/21/2024,Delta Airlines,2352.4,Travel,Pending
6/9/2024,Wire Transfer,-192.06,Banking & Fees,Pending
12/29/2023,Madison Bicycle Shop,2594.81,Business Services,Pending
6/16/2024,eBay,-1118.31,Shopping,Pending
8/10/2024,Netflix,2761.67,Subscriptions,Pending
8/31/2023,Home Depot,2668.58,Bills & Utilities,Pending
8/9/2024,Disney+,1637.36,Subscriptions,Pending
3/26/2024,Spotify,1993.47,Subscriptions,Posted
10/19/2023,PayPal,2684.32,Others,Pending
2/22/2023,Automatic Payment,641.08,Business Services,Posted
9/16/2023,Walmart,2505.54,Shopping,Pending
11/23/2023,KFC,164.38,Food & Drinks,Pending
1/5/2024,ATM Withdrawal,897.81,Banking & Fees,Pending
4/19/2024,PayPal,2336.56,Others,Pending
7/14/2023,Planet Fitness,2226.81,Fitness & Sports,Posted
5/31/2024,Delta Airlines,2943.73,Travel,Pending
6/30/2024,Donation,740.83,Others,Posted
8/21/2024,Loan Repayment,2291.44,Insurance & Financial,Pending
7/4/2023,Chipotle,2093.38,Food & Drinks,Posted
4/25/2024,Amazon Prime,523.29,Subscriptions,Posted
12/28/2023,Uber,1044.3,Travel,Pending
2/4/2024,Electricity Bill,353.57,Bills & Utilities,Posted
1/30/2024,LA Fitness,-1236.54,Fitness & Sports,Pending
12/9/2023,Delta Airlines,2800.47,Travel,Posted
4/9/2024,Touchstone Climbing,1155.09,Fitness & Sports,Pending
12/13/2023,Rent Payment,2198.07,Bills & Utilities,Posted
12/5/2023,PayPal,315.45,Others,Pending
8/18/2023,Gift Card,1428.6,Others,Pending
3/12/2024,PayPal,-1183.79,Others,Posted
1/10/2023,Car Insurance,707.89,Insurance & Financial,Pending
10/14/2023,Loan Repayment,771.34,Insurance & Financial,Posted
6/27/2024,Lyft,2608.11,Travel,Posted
5/4/2023,Gym Membership,2245.21,Fitness & Sports,Pending
3/26/2023,Planet Fitness,1784.51,Fitness & Sports,Posted
3/16/2023,CREDIT CARD PAYMENT,2739.76,Banking & Fees,Pending
3/30/2024,Disney+,1272.58,Subscriptions,Posted
1/5/2024,Hulu,-1033.73,Subscriptions,Posted
10/25/2023,Starbucks,1108.03,Food & Drinks,Pending
6/1/2024,Amazon Prime,2763.51,Subscriptions,Posted
5/10/2024,Airbnb,2701.82,Travel,Posted
1/7/2023,Verizon,774.91,Bills & Utilities,Pending
10/22/2023,Venmo,496.68,Others,Pending
10/1/2023,KFC,-2811.89,Food & Drinks,Posted
5/13/2024,Uber,2544.85,Travel,Pending
7/21/2023,KFC,1211.1,Food & Drinks,Posted
1/11/2024,Staples,349.49,Business Services,Pending
6/11/2024,Gym Membership,953.69,Fitness & Sports,Posted
8/10/2023,YouTube Premium,419.84,Subscriptions,Pending
5/28/2023,Loan Repayment,2611.91,Insurance & Financial,Pending
12/31/2023,Lyft,826.54,Travel,Pending
11/10/2023,Venmo,2961.05,Others,Posted
8/5/2024,Planet Fitness,1743.55,Fitness & Sports,Posted
9/8/2023,Starbucks,2057.49,Food & Drinks,Posted
3/31/2023,United Airlines,2597.76,Travel,Pending
4/6/2023,Gym Membership,1638.51,Fitness & Sports,Posted
2/3/2024,ATM Withdrawal,1064.76,Banking & Fees,Pending
5/3/2023,Electricity Bill,2928.07,Bills & Utilities,Pending
2/27/2024,Subway,235.98,Food & Drinks,Pending
2/25/2023,YouTube Premium,747.9,Subscriptions,Pending
6/14/2024,Subway,2752.12,Food & Drinks,Pending
4/7/2024,PayPal,304.13,Others,Posted
2/6/2024,Netflix,588.16,Subscriptions,Posted
5/5/2024,Burger King,997.27,Food & Drinks,Posted
1/25/2023,Tectra Inc,2376.57,Business Services,Pending
4/15/2023,Amazon,1688.72,Shopping,Posted
1/8/2024,McDonald's,1090.78,Food & Drinks,Pending
5/6/2024,Rent Payment,2833.74,Bills & Utilities,Posted
6/20/2023,Walmart,288.61,Shopping,Posted
7/20/2024,Expedia,-625.67,Travel,Posted
3/16/2023,PG&E,1415.54,Bills & Utilities,Posted
2/4/2023,Health Insurance,37.91,Insurance & Financial,Pending
3/19/2024,Verizon,1427.73,Bills & Utilities,Posted
12/5/2023,Uber,2704.55,Travel,Posted
